audio_id;Date;Group;Bat_flying;Bat_roosting;Dyad;flight_time;n_inquiry;n_response
503;12/12/2022;9,1;982126051278540;982126057846218;982126051278540  982126057846218;300;47;0
504;12/12/2022;9,2;982126057846159;982126058484277;982126057846159  982126058484277;300;3;0
505;12/12/2022;8;982126057846228;982126051278475;982126057846228  982126051278475;300;113;3
506;12/12/2022;8;982126057846186;900200000279820;982126057846186  900200000279820;300;53;1
507;12/19/2022;7;982126057845081;982126051278564;982126057845081  982126051278564;300;NA;NA
508;12/19/2022;11;982126057845085;982126057846231;982126057845085  982126057846231;300;35;3
509;12/19/2022;7;982126051278504;982126057845081;982126051278504  982126057845081;300;162;333
510;12/19/2022;11;982126057846231;982126057845085;982126057846231  982126057845085;300;136;5
511;12/19/2022;7;982126051278564;982126057845081;982126051278564  982126057845081;16;5;0
512;12/19/2022;11;982126058484302;982126057845085;982126058484302  982126057845085;300;127;0
513;12/19/2022;7;982126057846208;982126051278504;982126057846208  982126051278504;300;26;7
514;12/19/2022;11;982126057846231;982126058484302;982126057846231  982126058484302;300;72;0
515;12/19/2022;7;982126051278504;982126057846208;982126051278504  982126057846208;300;171;98
