"date","group","bat_flying","bat_roosting","dyad","flight_time","n_inquiry","n_response","sri","kinship","flying.sex","roosting.sex","dyad.sex","udyad.sex","year"
"2021-07-03","2021_10","bat982126051278540","bat900200000206430","bat900200000206430_bat982126051278540",300,43,0,0.571428571428571,0,"female","female","female-->female","female-female","2021"
"2021-06-28","2021_10","bat982126052945921","bat900200000206430","bat900200000206430_bat982126052945921",300,48,0,0.82,0,"female","female","female-->female","female-female","2021"
"2021-07-01","2021_10","bat982126052945921","bat900200000206430","bat900200000206430_bat982126052945921",137,36,0,0.82,0,"female","female","female-->female","female-female","2021"
"2021-06-22","2021_10","bat982126057845238","bat900200000206430","bat900200000206430_bat982126057845238",300,136,0,0.923076923076923,NA,"male","female","male-->female","mixed-sex","2021"
"2021-07-01","2021_10","bat982126057845238","bat900200000206430","bat900200000206430_bat982126057845238",300,159,8,0.923076923076923,NA,"male","female","male-->female","mixed-sex","2021"
"2021-06-22","2021_10","bat982126058484318","bat900200000206430","bat900200000206430_bat982126058484318",300,71,0,0.66,0.5,"male","female","male-->female","mixed-sex","2021"
"2021-07-03","2021_10","bat982126058484318","bat900200000206430","bat900200000206430_bat982126058484318",300,130,3,0.66,0.5,"male","female","male-->female","mixed-sex","2021"
"2021-07-02","2021_2","bat982126057845162","bat900200000206691","bat900200000206691_bat982126057845162",300,138,0,0.148936170212766,0,"male","male","male-->male","male-male","2021"
"2021-06-29","2021_2","bat982126058484254","bat900200000206691","bat900200000206691_bat982126058484254",300,87,250,0.354838709677419,0,"male","male","male-->male","male-male","2021"
"2021-06-29","2021_2","bat982126058484287","bat900200000206691","bat900200000206691_bat982126058484287",300,40,0,0.657142857142857,0.5,"female","male","female-->male","mixed-sex","2021"
"2021-07-02","2021_2","bat982126058484287","bat900200000206691","bat900200000206691_bat982126058484287",300,41,0,0.657142857142857,0.5,"female","male","female-->male","mixed-sex","2021"
"2021-06-24","2021_5","bat982126051278549","bat900200000279415","bat900200000279415_bat982126051278549",300,25,0,0.86046511627907,0.25,"female","female","female-->female","female-female","2021"
"2021-07-04","2021_5","bat982126051278549","bat900200000279415","bat900200000279415_bat982126051278549",300,30,0,0.86046511627907,0.25,"female","female","female-->female","female-female","2021"
"2021-06-30","2021_5","bat982126058484290","bat900200000279415","bat900200000279415_bat982126058484290",125,19,9,0.666666666666667,0.5,"female","female","female-->female","female-female","2021"
"2021-07-02","2021_5","bat982126058484290","bat900200000279415","bat900200000279415_bat982126058484290",108,18,0,0.666666666666667,0.5,"female","female","female-->female","female-female","2021"
"2021-06-22","2021_4","bat982126051278491","bat900200000279422","bat900200000279422_bat982126051278491",23,21,6,0.954545454545455,0.5,"female","female","female-->female","female-female","2021"
"2021-06-29","2021_4","bat982126051278491","bat900200000279422","bat900200000279422_bat982126051278491",107,18,0,0.954545454545455,0.5,"female","female","female-->female","female-female","2021"
"2021-06-30","2021_6","bat900200000279506","bat900200000279470","bat900200000279470_bat900200000279506",300,26,624,0.857142857142857,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-26","2021_6","bat900200000279517","bat900200000279470","bat900200000279470_bat900200000279517",300,44,507,0.575757575757576,0,"male","male","male-->male","male-male","2021"
"2021-07-03","2021_6","bat900200000279517","bat900200000279470","bat900200000279470_bat900200000279517",300,16,281,0.575757575757576,0,"male","male","male-->male","male-male","2021"
"2021-06-30","2021_6","bat982126051278470","bat900200000279470","bat900200000279470_bat982126051278470",300,115,417,0.566666666666667,0,"male","male","male-->male","male-male","2021"
